,address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
201,57 Stonebrook Ct,4783,4,1,5,1571726,Bloomington,3,-1.0,30,557700,Single Family Home,5267.0,61704
202,1421 W Market St,1571756,2,0,2,712753,Bloomington,3,-1.0,30,95000,Single Family Home,1824.0,61701
203,302 Mecherle Dr,3106632,2,0,4,-1,Bloomington,1,12632.4,30,139900,Single Family Home,3654.0,61701
204,4 Weaver Ct,1571741,2,2,4,1571726,Bloomington,3,-1.0,30,399000,Single Family Home,4580.0,61704
205,811 W Monroe St,1571752,2,0,3,1571726,Bloomington,1,-1.0,28,79900,Single Family Home,2036.0,61701
206,215 S Florence Ave,1301728,2,0,2,1280142,Bloomington,2,-1.0,28,129900,Single Family Home,1810.0,61701
207,1104 E Jefferson St,1427353,4,0,5,1280142,Bloomington,2,-1.0,30,279900,Single Family Home,6035.0,61701
208,14856 N 975 Rd E,1207563,3,0,4,1207437,Bloomington,3,119354.4,30,459000,Single Family Home,4782.0,61705
209,1215 Rutledge Rd,1416095,1,0,3,1571726,Bloomington,1,-1.0,30,126900,Single Family Home,2080.0,61704
210,1308 Nicki Dr,1501366,3,0,4,3054550,Bloomington,2,-1.0,30,159900,Single Family Home,3127.0,61704
211,18 Knollbrook Ct,7995,3,1,5,3054550,Bloomington,3,-1.0,30,359900,Single Family Home,4475.0,61705
212,20141 Sterling Rd,1345179,3,1,5,1207437,Bloomington,3,64468.8,30,549900,Single Family Home,5238.0,61705
213,1302 Pinehurst Dr,1295099,1,0,3,1295017,Bloomington,1,-1.0,27,109900,Single Family Home,1782.0,61704
214,65 Oak Park Rd,1193279,2,1,3,1571726,Bloomington,2,-1.0,26,139900,Single Family Home,2068.0,61701
215,5101 Londonderry Rd,283157,3,1,4,1207437,Bloomington,3,-1.0,26,289999,Single Family Home,3436.0,61705
216,2502 Timber View Dr,964233,3,0,3,1571726,Bloomington,2,7405.0,24,124900,Single Family Home,2152.0,61701
